clauses,T,s,epochs,train_accuracy,test_accuracy,train_precision,test_precision,train_recall,test_recall,train_f1_score,test_f1_score
250,200,5,100,0.7989028353358576,0.773254754237803,0.8006273157269684,0.7743725598081724,0.7989028353358576,0.773254754237803,0.7986921056837678,0.7730091573616207
250,200,10,100,0.8031662741122805,0.786985843611398,0.8074629328601247,0.7909780603639034,0.8031662741122805,0.786985843611398,0.8025957211385023,0.7862287878243376
250,200,50,100,0.7472943561611163,0.7411142839783705,0.7504233126368515,0.744281351009126,0.7472943561611163,0.7411142839783705,0.7466656792568619,0.7402407323040177
250,200,100,100,0.77856951194061,0.7648702837353424,0.7877252527691112,0.7746969963936435,0.77856951194061,0.7648702837353424,0.7765726002508857,0.7627926736946017
500,400,5,100,0.8276735935124176,0.7804240840877331,0.8277490951223074,0.7805938837504701,0.8276735935124176,0.7804240840877331,0.8276485834298912,0.7803959954840095
500,400,10,100,0.8481559881935542,0.7801810559572271,0.8497053705265959,0.7812716136795591,0.8481559881935542,0.7801810559572271,0.8479373851584653,0.7799809587877249
500,400,50,100,0.7699830058734086,0.7574579257549061,0.7794852805701608,0.7676349418170407,0.7699830058734086,0.7574579257549061,0.7677687951884571,0.7551779132100932
500,400,100,100,0.7866789898929668,0.7671182939425238,0.7867291821147516,0.767353220126394,0.7866789898929668,0.7671182939425238,0.786650409082158,0.7670739070298047
1500,1200,5,100,0.8840225395784264,0.7809708973813719,0.8850304482773947,0.7817380038801105,0.8840225395784264,0.7809708973813719,0.8839187800504883,0.7808326779597949
1500,1200,10,100,0.9094839152082526,0.7832796646211799,0.9101294466797141,0.7839822610811193,0.9094839152082526,0.7832796646211799,0.9094320616001282,0.7831558291210063
1500,1200,50,100,0.8241853254226171,0.7766571480648885,0.8261021513062361,0.7791746953424323,0.8241853254226171,0.7766571480648885,0.823992781656402,0.7761316310967856
1500,1200,100,100,0.8431471929876867,0.7728902120420439,0.8431740649981059,0.7729221960770363,0.8431471929876867,0.7728902120420439,0.8431496561143014,0.7728809913265309
4000,3200,5,100,0.956560627291971,0.7807886262834923,0.9566795433875515,0.7809177339872526,0.956560627291971,0.7807886262834923,0.9565548072722158,0.7807678863909567
4000,3200,10,100,0.9569183983781044,0.7854669177957349,0.9575950739097261,0.7866524483530587,0.9569183983781044,0.7854669177957349,0.9568954955589379,0.7852580100254948
4000,3200,50,100,0.961360722697594,0.7826720942949147,0.9615739399466847,0.7831942299315828,0.961360722697594,0.7826720942949147,0.9613527626349311,0.7825807835170377
4000,3200,100,100,0.9818729316359083,0.7860744881220001,0.9819293751030466,0.7863542986740195,0.9818729316359083,0.7860744881220001,0.98187159427553,0.7860285271862596
10000,8000,5,100,0.9780567067171522,0.7888085545901938,0.9783697789372526,0.7892088185054636,0.9780567067171522,0.7888085545901938,0.9780508142200514,0.7887428485359355
10000,8000,10,100,0.9965415461673772,0.7906920226016161,0.9965420244203685,0.7907412260735338,0.9965415461673772,0.7906920226016161,0.9965415585139951,0.790685655872644
10000,8000,50,100,0.9995527861423332,0.7875326569050367,0.9995529281134548,0.7884463882935083,0.9995527861423332,0.7875326569050367,0.9995527851548169,0.7873755883193857
10000,8000,100,100,0.9997018574282222,0.7911780788626284,0.9997019700141564,0.7912077149188455,0.9997018574282222,0.7911780788626284,0.9997018568451479,0.791174668588092
20000,16000,5,100,0.9998807429712888,0.7905097515037366,0.9998807501943711,0.7906611448809696,0.9998807429712888,0.7905097515037366,0.9998807430274756,0.7904778235766812
20000,16000,10,100,1.0,0.795066528950726,1.0,0.7971123048594673,1.0,0.795066528950726,1.0,0.7947290318347191
20000,16000,50,100,1.0,0.7934868461024364,1.0,0.7949977399785956,1.0,0.7934868461024364,1.0,0.7932359235740172
20000,16000,100,100,1.0,0.7865605443830124,1.0,0.786919873346474,1.0,0.7865605443830124,1.0,0.7865008318648962
25000,20000,5,100,0.9999701857428223,0.7930007898414242,0.9999701875064576,0.7936911923346757,0.9999701857428223,0.7930007898414242,0.9999701857357194,0.7928884526033663
25000,20000,10,100,0.9998807429712888,0.7971322680600279,0.9998807711844492,0.7974404133307696,0.9998807429712888,0.7971322680600279,0.9998807428563703,0.7970857400619661
25000,20000,50,100,1.0,0.7942159304939547,1.0,0.7943429694029941,1.0,0.7942159304939547,1.0,0.7941976613975044
25000,20000,100,100,1.0,0.7908742936994957,1.0,0.7917237242685891,1.0,0.7908742936994957,1.0,0.7907325616316325
