clauses,T,s,epochs,train_accuracy,test_accuracy,train_precision,test_precision,train_recall,test_recall,train_f1_score,test_f1_score
250,200,5,100,0.7790979558854338,0.7660215831675409,0.7800096303996108,0.7672004779924462,0.7790979558854338,0.7660215831675409,0.7789129859000973,0.7658882130979937
250,200,10,100,0.7887349235327568,0.7757882679206608,0.7931738881735184,0.780807021272832,0.7887349235327568,0.7757882679206608,0.7879221273304955,0.7750268417633575
250,200,50,100,0.7639242211115435,0.7627057334056792,0.7874011563628708,0.7890569004022212,0.7639242211115435,0.7627057334056792,0.7589756327398307,0.7577713200829143
250,200,100,100,0.7833178702900069,0.7727738590462411,0.784773495039996,0.7747575955859926,0.7833178702900069,0.7727738590462411,0.783034524945413,0.7725188226222532
500,400,5,100,0.7887049950618022,0.7764514378730331,0.7946383730184198,0.7820777696758324,0.7887049950618022,0.7764514378730331,0.7876242704479484,0.775589041050308
500,400,10,100,0.8027414479394248,0.7840477482365709,0.8042852031779633,0.7861109454823207,0.8027414479394248,0.7840477482365709,0.8024856366166057,0.7838026953719034
500,400,50,100,0.7626971538024122,0.7601133417736782,0.8153960239508838,0.8135031235465837,0.7626971538024122,0.7601133417736782,0.7523148304504222,0.7502573691710677
500,400,100,100,0.7804746655493371,0.7664436004099596,0.7997659156446707,0.7878006513343109,0.7804746655493371,0.7664436004099596,0.7768634861782535,0.7625591651407608
1500,1200,5,100,0.8007661688564331,0.7753662506782419,0.801696827472244,0.7766226741744718,0.8007661688564331,0.7753662506782419,0.8006082053925108,0.7752307648083063
1500,1200,10,100,0.818902822254811,0.783927171881594,0.8191792795722882,0.7839784269592527,0.818902822254811,0.783927171881594,0.8188655338849877,0.7838834137763778
1500,1200,50,100,0.7964564690389968,0.776752878760475,0.8057858946906388,0.7865355213775286,0.7964564690389968,0.776752878760475,0.7948785645074405,0.7751689472290852
1500,1200,100,100,0.8043575853709634,0.7807921866521975,0.8241551344468676,0.8006204549982264,0.8043575853709634,0.7807921866521975,0.8013062693564817,0.7775726403389829
4000,3200,5,100,0.8316822793523478,0.7801893048773135,0.8330220009335834,0.781907482784776,0.8316822793523478,0.7801893048773135,0.8315090171131326,0.779989856545059
4000,3200,10,100,0.8343758417382456,0.7833845782841985,0.8356114327421946,0.7849748361885186,0.8343758417382456,0.7833845782841985,0.8342196911190752,0.7832091433795387
4000,3200,50,100,0.8237811630203813,0.7815759329595466,0.8354649208806391,0.7930968030435742,0.8237811630203813,0.7815759329595466,0.8222215484325168,0.7797594593540809
4000,3200,100,100,0.8509861431179481,0.78971483692048,0.8530816802780533,0.7924118332848232,0.8509861431179481,0.78971483692048,0.8507607594627479,0.7893877314171083
10000,8000,5,100,0.8461975877652411,0.777657201422801,0.8476965602063689,0.7794280331356518,0.8461975877652411,0.777657201422801,0.8460281312783215,0.7774454434715137
10000,8000,10,100,0.8474246550743723,0.7856152408512691,0.8520164028824853,0.7905688427275606,0.8474246550743723,0.7856152408512691,0.8469194485749599,0.7849217562358222
10000,8000,50,100,0.8515248555951277,0.7863989871586182,0.8603555565491395,0.7949507609367421,0.8515248555951277,0.7863989871586182,0.8506016819908513,0.7851314135240757
10000,8000,100,100,0.8658007362403854,0.789413396033038,0.866459393519765,0.7902367509731126,0.8658007362403854,0.789413396033038,0.8657384901827639,0.7893492124922058
20000,16000,5,100,0.8655313800017957,0.7850123590763851,0.867431211634089,0.7874898244217051,0.8655313800017957,0.7850123590763851,0.8653540802526661,0.7847063391233651
20000,16000,10,100,0.8576601921407835,0.7841683245915476,0.8592350531998622,0.7860931332875887,0.8576601921407835,0.7841683245915476,0.8575008049280475,0.7839443601979086
20000,16000,50,100,0.8632568162092599,0.7854343763188039,0.8681773666006232,0.7903022793843688,0.8632568162092599,0.7854343763188039,0.8627930798270693,0.7847536164596395
20000,16000,100,100,0.876694699667794,0.7880870561282932,0.8772630810823855,0.7888857664657885,0.876694699667794,0.7880870561282932,0.8766466528735698,0.788025274505886
25000,20000,5,100,0.871696645018406,0.7857961053837342,0.8722978906362905,0.7867679288804943,0.871696645018406,0.7857961053837342,0.8716431005575751,0.7857104746156284
25000,20000,10,100,0.8634663155059408,0.7889913787906192,0.8648002876787353,0.7909990258771809,0.8634663155059408,0.7889913787906192,0.8633385946739228,0.7887639923795965
25000,20000,50,100,0.8675066590847874,0.7853137999638271,0.8728688405684669,0.7906505125575832,0.8675066590847874,0.7853137999638271,0.8670232837256154,0.7845570440898223
25000,20000,100,100,0.8774728399126088,0.7880267679508048,0.87872465911949,0.7894979247929296,0.8774728399126088,0.7880267679508048,0.8773691778063588,0.7878746265344627
