clauses,T,s,epochs,train_accuracy,test_accuracy,train_precision,test_precision,train_recall,test_recall,train_f1_score,test_f1_score
250,200,5,100,0.9954695836189681,0.9871116785214906,0.9954751117362459,0.9871161485423179,0.9954695836189681,0.9871116785214906,0.9954695743783779,0.9871114468948831
250,200,10,100,0.9880182408870078,0.9836464222749103,0.9880363160637214,0.9836831169306925,0.9880182408870078,0.9836464222749103,0.988018146430477,0.983645389607684
250,200,50,100,0.9735626359870049,0.9657122013496261,0.9736011141845894,0.9657136977816182,0.9735626359870049,0.9657122013496261,0.9735621536726315,0.9657117929949147
250,200,100,100,0.9627134809692707,0.9522767341479725,0.9629519075611772,0.9527543903423783,0.9627134809692707,0.9522767341479725,0.9627084826778961,0.9522720023763531
500,400,5,100,0.9987779797919585,0.989361055383306,0.9987799088479928,0.989380518371387,0.9987779797919585,0.989361055383306,0.9987779780723739,0.9893612759814379
500,400,10,100,0.9927572948645346,0.9850446835673902,0.9928085332546737,0.9851234076595397,0.9927572948645346,0.9850446835673902,0.992757123223958,0.9850431188058116
500,400,50,100,0.9912968316890703,0.9810930755669037,0.9912984098649755,0.981100079669972,0.9912968316890703,0.9810930755669037,0.9912968282098732,0.9810926281442482
500,400,100,100,0.9851271199070073,0.9679615782114415,0.9851309465874745,0.9679687198851528,0.9851271199070073,0.9679615782114415,0.9851271000354286,0.9679607657965125
1500,1200,5,100,1.0,0.9923399598759803,1.0,0.9923616766802719,1.0,0.9923399598759803,1.0,0.9923401234626676
1500,1200,10,100,0.9999701946290721,0.9924615478144568,0.9999701964048927,0.9924640682839206,0.9999701946290721,0.9924615478144568,0.9999701946286484,0.9924616195351619
1500,1200,50,100,0.9993740872105153,0.9871116785214906,0.9993743021080481,0.9871142526535818,0.9993740872105153,0.9871116785214906,0.9993740872349809,0.9871115060654077
1500,1200,100,100,0.996810825310721,0.9806067238129977,0.9968125244864796,0.9806073297308875,0.996810825310721,0.9806067238129977,0.9968108239054855,0.9806065881876698
4000,3200,5,100,1.0,0.9939813970454131,1.0,0.9939820530884378,1.0,0.9939813970454131,1.0,0.9939814274780704
4000,3200,10,100,1.0,0.9934342513222688,1.0,0.9934355718742751,1.0,0.9934342513222688,1.0,0.9934341918628723
4000,3200,50,100,0.9998807785162886,0.9902121709526415,0.9998807856278306,0.9902122711305169,0.9998807785162886,0.9902121709526415,0.9998807785190423,0.9902121881011277
4000,3200,100,100,0.9989270066465977,0.9843151559365311,0.998927354536857,0.9843617869074943,0.9989270066465977,0.9843151559365311,0.9989270066599426,0.9843140005797417
10000,8000,5,100,1.0,0.9936774271992218,1.0,0.9936776448173569,1.0,0.9936774271992218,1.0,0.9936774037824339
10000,8000,10,100,1.0,0.9944677487993191,1.0,0.9944684002152016,1.0,0.9944677487993191,1.0,0.9944677767727719
10000,8000,50,100,0.9999701946290721,0.9904553468295945,0.9999701964064812,0.9904834178264986,0.9999701946290721,0.9904553468295945,0.999970194629443,0.9904548489202649
10000,8000,100,100,0.9997019462907216,0.9870508845522524,0.99970197466954,0.987050995597045,0.9997019462907216,0.9870508845522524,0.9997019462705985,0.98705090723938
20000,16000,5,100,1.0,0.9942853668916044,1.0,0.9942856707857243,1.0,0.9942853668916044,1.0,0.9942853865356469
20000,16000,10,100,1.0,0.9944069548300809,1.0,0.9944074759042143,1.0,0.9944069548300809,1.0,0.9944069801340308
20000,16000,50,100,0.9999701946290721,0.9916104322451212,0.9999701964064812,0.9916104322451212,0.9999701946290721,0.9916104322451212,0.999970194629443,0.9916104322451212
20000,16000,100,100,0.9997913624035051,0.9877196182138732,0.9997913641850446,0.9877248725647894,0.9997913624035051,0.9877196182138732,0.9997913624060999,0.9877197775334845
25000,20000,5,100,1.0,0.9939813970454131,1.0,0.9939820530884378,1.0,0.9939813970454131,1.0,0.9939814274780704
25000,20000,10,100,1.0,0.9944069548300809,1.0,0.9944069707558306,1.0,0.9944069548300809,1.0,0.9944069480905514
25000,20000,50,100,1.0,0.9917320201835977,1.0,0.9917341987285345,1.0,0.9917320201835977,1.0,0.9917319217150858
25000,20000,100,100,0.9997615570325773,0.9873548543984437,0.9997615641487794,0.9873548543984437,0.9997615570325773,0.9873548543984437,0.9997615570380844,0.9873548543984437
