clauses,T,s,epochs,train_accuracy,test_accuracy,train_precision,test_precision,train_recall,test_recall,train_f1_score,test_f1_score
250,200,5,100,0.8607775532041374,0.8431156762044509,0.8662807011945388,0.8489000429836058,0.8607775532041374,0.8431156762044509,0.8602248179373296,0.8424987785941541
250,200,10,100,0.8759362739270004,0.857483492296405,0.8776665801562461,0.8590236990646536,0.8759362739270004,0.857483492296405,0.8757805614987563,0.8573467409816944
250,200,50,100,0.8402092497919391,0.8275250672536072,0.8411756527912458,0.8288197909366231,0.8402092497919391,0.8275250672536072,0.8400814949287986,0.8273749140566743
250,200,100,100,0.8458268933539412,0.8343727072633896,0.8517245883090747,0.839505035089054,0.8458268933539412,0.8343727072633896,0.8452109401003021,0.8337070521486581
500,400,5,100,0.8869635001783379,0.8568720958669601,0.8892474843705362,0.8588532267772406,0.8869635001783379,0.8568720958669601,0.8867838248606316,0.856692836959795
500,400,10,100,0.8957615027939603,0.8639642944485204,0.8971965061381609,0.865208686027116,0.8957615027939603,0.8639642944485204,0.8956575257349582,0.8638620023450634
500,400,50,100,0.8502258946617525,0.8355343604793348,0.8651555993573743,0.8495699114729358,0.8502258946617525,0.8355343604793348,0.8486293943421551,0.8339260160260417
500,400,100,100,0.850701462370705,0.8305209097578871,0.8561787345471475,0.8358239041418226,0.850701462370705,0.8305209097578871,0.8500945693643003,0.8298880396154504
1500,1200,5,100,0.9188859826417787,0.863658596233798,0.9202739104001327,0.8648657089161117,0.9188859826417787,0.863658596233798,0.9188119425548217,0.8635592572990743
1500,1200,10,100,0.9101474259897753,0.8581560283687943,0.9152049362802166,0.8638641962818009,0.9101474259897753,0.8581560283687943,0.9098579385020834,0.8576284832497796
1500,1200,50,100,0.8900844132683391,0.8522254830031792,0.8937087232737155,0.855592226814523,0.8900844132683391,0.8522254830031792,0.8898143976959607,0.8519001652428112
1500,1200,100,100,0.909909642135299,0.8551601858645146,0.9146815214214669,0.8604799091651956,0.909909642135299,0.8551601858645146,0.9096350598545132,0.8546546411672283
4000,3200,5,100,0.9519379384139817,0.8651870873074101,0.9526360204128779,0.8659334993922123,0.9519379384139817,0.8651870873074101,0.9519166733649089,0.8651287572262056
4000,3200,10,100,0.9386517655451195,0.8661653215945219,0.9426423168749685,0.8706044946321408,0.9386517655451195,0.8661653215945219,0.9385046674745678,0.8657885527794102
4000,3200,50,100,0.9670966591368446,0.871606749816581,0.9674302792776915,0.8719601789958863,0.9670966591368446,0.871606749816581,0.9670895385750161,0.8715829411755491
4000,3200,100,100,0.9721792890262752,0.8716678894595256,0.972196867646611,0.8716991743689382,0.9721792890262752,0.8716678894595256,0.9721787880038945,0.8716671060872876
10000,8000,5,100,0.9831470693139935,0.8744803130349719,0.983211470534435,0.8745649764736687,0.9831470693139935,0.8744803130349719,0.983146236000722,0.8744763486927533
10000,8000,10,100,0.9794316965878017,0.8753974076791392,0.9800323951710245,0.8778270082217956,0.9794316965878017,0.8753974076791392,0.9794242424130469,0.8752137326738213
10000,8000,50,100,0.9931042682201878,0.8784543898263634,0.9931252314897799,0.8787036324498188,0.9931042682201878,0.8784543898263634,0.993104132849442,0.8784396004483142
10000,8000,100,100,0.9871299488764713,0.8753974076791392,0.9871619755836982,0.8754149106378538,0.9871299488764713,0.8753974076791392,0.9871295921451899,0.8753973107986697
20000,16000,5,100,0.9957496136012365,0.8772927366104182,0.995766164317248,0.8774945153547866,0.9957496136012365,0.8772927366104182,0.9957496117800481,0.8772713970868833
20000,16000,10,100,0.9980977291641897,0.8816336512594767,0.9980977906762304,0.8816539251032268,0.9980977291641897,0.8816336512594767,0.9980977281760051,0.8816334530373344
20000,16000,50,100,0.9972060397099037,0.8779652726828076,0.9972091201337888,0.8779732946853475,0.9972060397099037,0.8779652726828076,0.9972060258178658,0.877965489821142
20000,16000,100,100,0.9897455712757104,0.8751528491073612,0.9897579344568803,0.8751656882562213,0.9897455712757104,0.8751528491073612,0.9897454349742734,0.8751504222513478
25000,20000,5,100,0.9972952086553323,0.8784543898263634,0.9972959928830284,0.8784747788733016,0.9972952086553323,0.8784543898263634,0.997295212218187,0.8784511329337764
25000,20000,10,100,0.9989299726548567,0.8805942773294204,0.9989304268006105,0.8805997490393301,0.9989299726548567,0.8805942773294204,0.9989299738043736,0.8805929806630176
25000,20000,50,100,0.9976518844370468,0.8782709708975299,0.99765280597998,0.8784820229002701,0.9976518844370468,0.8782709708975299,0.9976518789500467,0.8782490039495564
25000,20000,100,100,0.99233147069314,0.8787600880410859,0.9923414256323982,0.8788321238580385,0.99233147069314,0.8787600880410859,0.992331384190266,0.8787570746619131
