clauses,T,s,epochs,train_accuracy,test_accuracy,train_precision,test_precision,train_recall,test_recall,train_f1_score,test_f1_score
250,200,5,100,0.7704360282925956,0.7487418904989995,0.7704914115036856,0.748752016792362,0.7704360282925956,0.7487418904989995,0.770437892666781,0.7487383213433414
250,200,10,100,0.7736592353836512,0.751712847874856,0.7758996457963776,0.7534149931279642,0.7736592353836512,0.751712847874856,0.7732988793484431,0.7512832164831165
250,200,50,100,0.7236398364520846,0.7231552779967259,0.7254938863245403,0.7248409641235943,0.7236398364520846,0.7231552779967259,0.7232090677997582,0.7226200575090747
250,200,100,100,0.7462619751096786,0.741769235433214,0.7497418691948923,0.7461512766183168,0.7462619751096786,0.741769235433214,0.7452074019068146,0.7406354661595383
500,400,5,100,0.7886411794550392,0.7410416540350452,0.7909744092258488,0.7424728428941684,0.7886411794550392,0.7410416540350452,0.7883066990454111,0.740646871024946
500,400,10,100,0.8181275554361775,0.7588673982901837,0.8190843653289102,0.7600324085273215,0.8181275554361775,0.7588673982901837,0.817943340813507,0.7586062707512555
500,400,50,100,0.7363535977556929,0.7258230764566785,0.7510686008951921,0.7386610570321221,0.7363535977556929,0.7258230764566785,0.7327777121763,0.7220461269123984
500,400,100,100,0.7617811203629092,0.745103983508155,0.7618459380039543,0.7452970392985467,0.7617811203629092,0.745103983508155,0.761742267587656,0.7450580414079677
1500,1200,5,100,0.8513444951801116,0.7532286424543746,0.8516523814875395,0.7533347969038776,0.8513444951801116,0.7532286424543746,0.85133015088831,0.7531997722237432
1500,1200,10,100,0.8883815322171487,0.7574122354938458,0.888573996413988,0.7575517299018272,0.8883815322171487,0.7574122354938458,0.8883774619968173,0.7573760581564835
1500,1200,50,100,0.8029665443041752,0.7511671618262293,0.803878747282019,0.751822844763569,0.8029665443041752,0.7511671618262293,0.8028678231122248,0.750997548227371
1500,1200,100,100,0.8119198973348852,0.7482568362335537,0.8134724653207803,0.7494017685157998,0.8119198973348852,0.7482568362335537,0.8117467160047878,0.7479574094041973
4000,3200,5,100,0.9257170143552094,0.754077487418905,0.9257430796683165,0.754082605682831,0.9257170143552094,0.754077487418905,0.9257179750610837,0.7540768419164695
4000,3200,10,100,0.9355060136687856,0.7599587703874371,0.9366878222197657,0.7610371312231894,0.9355060136687856,0.7599587703874371,0.9354751676589979,0.7597016819188083
4000,3200,50,100,0.9154803473900975,0.7563814951797733,0.9231387339777183,0.7660653754967021,0.9154803473900975,0.7563814951797733,0.9151407650207808,0.7541176794303068
4000,3200,100,100,0.9777658399737368,0.7632328866791972,0.9777843102078145,0.7632813498821246,0.9777658399737368,0.7632328866791972,0.9777651024780142,0.7632237784383425
10000,8000,5,100,0.9823618945295013,0.7597162432547141,0.9823766875122312,0.7599219292120216,0.9823618945295013,0.7597162432547141,0.9823613930104912,0.7596725425113683
10000,8000,10,100,0.9958217685856686,0.7634754138119202,0.9958504876932384,0.7659022707628298,0.9958217685856686,0.7634754138119202,0.9958215927890942,0.7629473134099826
10000,8000,50,100,0.9994926433282597,0.7661432122718729,0.9994926599987648,0.7662670295332515,0.9994926433282597,0.7661432122718729,0.9994926436509325,0.7661188372155838
10000,8000,100,100,0.9990151311666219,0.7675983750682107,0.999016252948979,0.7678691170056638,0.9990151311666219,0.7675983750682107,0.9990151359037934,0.7675354166340448
20000,16000,5,100,0.9985376190049841,0.7617170920996786,0.9985380280789056,0.7617628264182201,0.9985376190049841,0.7617170920996786,0.9985376234207789,0.7617048276926299
20000,16000,10,100,0.9995523323484645,0.7691748014309101,0.9995523477908842,0.7695464586622802,0.9995523323484645,0.7691748014309101,0.9995523320565748,0.7690903389526415
20000,16000,50,100,1.0,0.7756017704480689,1.0,0.7756261771008219,1.0,0.7756017704480689,1.0,0.7755979344427711
20000,16000,100,100,1.0,0.7664463711877766,1.0,0.7665584958210967,1.0,0.7664463711877766,1.0,0.766419047323307
25000,20000,5,100,0.9995821768585669,0.76590068513915,0.9995822060559049,0.7660362025142364,0.9995821768585669,0.76590068513915,0.9995821772113855,0.7658678242621973
25000,20000,10,100,0.999910466469693,0.7715394409749591,0.9999104826154366,0.7722703951622114,0.999910466469693,0.7715394409749591,0.9999104665266351,0.7713793386881432
25000,20000,50,100,1.0,0.7708724913599709,1.0,0.7708737880315782,1.0,0.7708724913599709,1.0,0.770871889939824
25000,20000,100,100,1.0,0.7677196386345723,1.0,0.7677461979782298,1.0,0.7677196386345723,1.0,0.7677125252955109
