clauses,T,s,epochs,train_accuracy,test_accuracy,train_precision,test_precision,train_recall,test_recall,train_f1_score,test_f1_score
250,200,5,100,0.7670101868076387,0.7424826994917019,0.7705731063766452,0.7466051701026557,0.7670101868076387,0.7424826994917019,0.766127481983974,0.7415987537086974
250,200,10,100,0.7831665231207864,0.7579153653009982,0.7833839180234847,0.7583482194570756,0.7831665231207864,0.7579153653009982,0.7830988850106356,0.7578671764633499
250,200,50,100,0.7426568857473791,0.740829199583563,0.7702382786357971,0.7726054370516942,0.7426568857473791,0.740829199583563,0.7355645678215315,0.7335665167567981
250,200,100,100,0.7572094680882658,0.7524649396778738,0.7601108080273619,0.7559176068175993,0.7572094680882658,0.7524649396778738,0.7564188070833218,0.751792667789455
500,400,5,100,0.7932345341688694,0.7548533284340744,0.7994222289342608,0.7605002936157123,0.7932345341688694,0.7548533284340744,0.7920434767590019,0.7537249763216879
500,400,10,100,0.8192509874966588,0.761222365117276,0.8192704798783449,0.7612527001934007,0.8192509874966588,0.761222365117276,0.8192417661158238,0.7612262015842313
500,400,50,100,0.7551305277538535,0.7461571437320106,0.7588265078358205,0.7504803091953035,0.7551305277538535,0.7461571437320106,0.7541255131638281,0.7452524766466964
500,400,100,100,0.7752962489976538,0.7478106436401494,0.7753834786452456,0.7479314728661963,0.7752962489976538,0.7478106436401494,0.7752598399631442,0.747807948055198
1500,1200,5,100,0.8481779572926257,0.7570579949782595,0.8489283429988738,0.7576844498734845,0.8481779572926257,0.7570579949782595,0.8480707872843156,0.7569757322649218
1500,1200,10,100,0.8749962876065457,0.7575479208769673,0.8750008213794869,0.7575843123825609,0.8749962876065457,0.7575479208769673,0.8749939782081898,0.7575517945431967
1500,1200,50,100,0.8006296219298507,0.7508726805070733,0.8011070333191457,0.7511225720710911,0.8006296219298507,0.7508726805070733,0.8005797210786713,0.7507571978064352
1500,1200,100,100,0.8099254551394375,0.7414416069569477,0.814663302590172,0.7448104101806964,0.8099254551394375,0.7414416069569477,0.8092938516301172,0.7403562068053908
4000,3200,5,100,0.9177927593478067,0.7615898095413068,0.917999425137523,0.7618372939370295,0.9177927593478067,0.7615898095413068,0.9177766329908883,0.7615714647779724
4000,3200,10,100,0.9175254670190965,0.7596301059464756,0.9182410906598133,0.7605461224133672,0.9175254670190965,0.7596301059464756,0.9175008734017571,0.7593297191123967
4000,3200,50,100,0.8915387128389415,0.7578541245636597,0.9041161201088282,0.7711173475815977,0.8915387128389415,0.7578541245636597,0.8907504190456085,0.7545403284058257
4000,3200,100,100,0.9707463395800541,0.7659379018923388,0.9707857289429157,0.7659971414474636,0.9707463395800541,0.7659379018923388,0.9707465110146829,0.7658993620605243
10000,8000,5,100,0.965935077663271,0.7607936799559066,0.9659494102962165,0.760842830062446,0.965935077663271,0.7607936799559066,0.9659342265592895,0.7607971518601223
10000,8000,10,100,0.9877045528793323,0.7718782534141712,0.9877623205335788,0.7724522165015739,0.9877045528793323,0.7718782534141712,0.987704578538768,0.7716939393307172
10000,8000,50,100,0.9961985091027887,0.7708984016167555,0.996223875668861,0.7745076599777933,0.9961985091027887,0.7708984016167555,0.9961985392805204,0.7699891034131526
10000,8000,100,100,0.9974458733034361,0.769428623920632,0.9974502173749471,0.7699765005427168,0.9974458733034361,0.769428623920632,0.9974458457046813,0.7693666895508523
20000,16000,5,100,0.9878827477651392,0.7671627166391083,0.98795243709071,0.7675695140893058,0.9878827477651392,0.7671627166391083,0.9878827370772454,0.7670170292451003
20000,16000,10,100,0.9996436102283864,0.7759201420785107,0.9996436729567469,0.7759269137337008,0.9996436102283864,0.7759201420785107,0.9996436098492669,0.7759071559035133
20000,16000,50,100,1.0,0.7764713087145569,1.0,0.7764952636650069,1.0,0.7764713087145569,1.0,0.7764747945609012
20000,16000,100,100,0.9999109025570966,0.7774511605119726,0.9999109043515689,0.777449596447586,0.9999109025570966,0.7774511605119726,0.999910902572343,0.7774447329427046
25000,20000,5,100,0.9839030619821211,0.7662441055790312,0.9839780809969804,0.7663334641709965,0.9839030619821211,0.7662441055790312,0.9839030235903634,0.7661945793634645
25000,20000,10,100,0.9999406017047311,0.7772061975626187,0.9999406088013015,0.777282203586423,0.9999406017047311,0.7772061975626187,0.9999406017249549,0.7771657593864211
25000,20000,50,100,1.0,0.7812480862269582,1.0,0.7813035733848359,1.0,0.7812480862269582,1.0,0.7812510298866084
25000,20000,100,100,0.9998515042618277,0.7757364198664952,0.9998515059743592,0.7758625596554436,0.9998515042618277,0.7757364198664952,0.9998515042361549,0.7757340227727381
