clauses,T,s,epochs,train_accuracy,test_accuracy,train_precision,test_precision,train_recall,test_recall,train_f1_score,test_f1_score
250,200,5,100,0.9078943459012984,0.8975096371535214,0.9082041783125537,0.8979768654798994,0.9078943459012984,0.8975096371535214,0.9078795701274807,0.8974737865102839
250,200,10,100,0.9123510710996227,0.9007526157988129,0.9137695684467626,0.9024532947864287,0.9123510710996227,0.9007526157988129,0.9122813443960267,0.9006371848889927
250,200,50,100,0.9025462756633092,0.8929817047053784,0.90313275412776,0.8936625555934632,0.9025462756633092,0.8929817047053784,0.9025148163795753,0.8929280755966272
250,200,100,100,0.9011201235998455,0.8873523832833629,0.9028606876729033,0.8887634891267456,0.9011201235998455,0.8873523832833629,0.9010061386305556,0.8872611596526757
500,400,5,100,0.8186112844282022,0.8108058495992168,0.853636648768324,0.8462363763493556,0.8186112844282022,0.8108058495992168,0.8140743183540059,0.8057287517041656
500,400,10,100,0.9299699913836647,0.9049746068653246,0.930296571043608,0.9054246693019166,0.9299699913836647,0.9049746068653246,0.9299587040955591,0.9049430907049248
500,400,50,100,0.9149062602133285,0.8951844826531237,0.9162305173795849,0.8970492354980574,0.9149062602133285,0.8951844826531237,0.9148436115917947,0.8950495224549042
500,400,100,100,0.9106872270255816,0.8880866425992779,0.9115101120568351,0.8888939863162826,0.9106872270255816,0.8880866425992779,0.9106382619742858,0.8880368380259127
1500,1200,5,100,0.9540065959532935,0.9055864896285871,0.9541959747862986,0.9059258554938119,0.9540065959532935,0.9055864896285871,0.9540027493266016,0.9055623201356773
1500,1200,10,100,0.95409573045726,0.9047910420363459,0.9553254360003445,0.9067518820150106,0.95409573045726,0.9047910420363459,0.9540671296527522,0.904665498686573
1500,1200,50,100,0.951154291826366,0.9052805482469559,0.9513052154947851,0.9056519736407742,0.951154291826366,0.9052805482469559,0.9511511117588402,0.9052542082619254
1500,1200,100,100,0.961434471283834,0.8995288502722878,0.9614928967105285,0.899949657729187,0.961434471283834,0.8995288502722878,0.9614336840255392,0.8994970826633134
4000,3200,5,100,0.9905517425795526,0.9118888820901915,0.9905791085392838,0.9119588318929002,0.9905517425795526,0.9118888820901915,0.9905515418465362,0.911886926487493
4000,3200,10,100,0.9935228927117687,0.9150706724591569,0.9935236046486278,0.9150927164244419,0.9935228927117687,0.9150706724591569,0.9935228978578136,0.9150685234828345
4000,3200,50,100,0.9969694268651395,0.9181300862754697,0.9969694331889672,0.9181335703262317,0.9969694268651395,0.9181300862754697,0.9969694265066467,0.9181295044862837
4000,3200,100,100,0.9919481831416942,0.9140304717616105,0.9919967869571654,0.9146372298479399,0.9919481831416942,0.9140304717616105,0.9919480620641189,0.9139937508684164
10000,8000,5,100,0.9997623079894227,0.9217401945787187,0.9997623363339315,0.9217419513914442,0.9997623079894227,0.9217401945787187,0.9997623080406209,0.9217398271443117
10000,8000,10,100,1.0,0.9264516918558404,1.0,0.9267897668372602,1.0,0.9264516918558404,1.0,0.9264338628182069
10000,8000,50,100,0.9999108654960335,0.925411491158294,0.9999108814138568,0.9256155870479812,0.9999108654960335,0.925411491158294,0.9999108655106689,0.9253999644230076
10000,8000,100,100,0.9984252904299254,0.9208835587101512,0.9984254346155175,0.9210896814514575,0.9984252904299254,0.9208835587101512,0.9984252911305437,0.9208710886619418
20000,16000,5,100,1.0,0.9279813987639968,1.0,0.9279836819804262,1.0,0.9279813987639968,1.0,0.9279815362798477
20000,16000,10,100,1.0,0.9292663525668482,1.0,0.9292811808333441,1.0,0.9292663525668482,1.0,0.9292650681099666
20000,16000,50,100,1.0,0.9271859511717555,1.0,0.9271865649188638,1.0,0.9271859511717555,1.0,0.9271857581569883
20000,16000,100,100,0.9991383664616573,0.9235758428685064,0.9991394704989854,0.9238218810633119,0.9991383664616573,0.9235758428685064,0.9991383672222856,0.9235618323667151
25000,20000,5,100,1.0,0.9287768463562381,1.0,0.9287928445078708,1.0,0.9287768463562381,1.0,0.928776833556565
25000,20000,10,100,1.0,0.9276754573823656,1.0,0.9276797662746045,1.0,0.9276754573823656,1.0,0.927674888725122
25000,20000,50,100,1.0,0.9293887291195007,1.0,0.9294341603516593,1.0,0.9293887291195007,1.0,0.9293857050670313
25000,20000,100,100,0.9993760584722347,0.9281649635929756,0.9993765692961836,0.9283966503168033,0.9993760584722347,0.9281649635929756,0.9993760589216876,0.928152619341141
