clauses,T,s,epochs,train_accuracy,test_accuracy,train_precision,test_precision,train_recall,test_recall,train_f1_score,test_f1_score
250,200,5,100,0.8256345860615302,0.797015646710566,0.8259844860924844,0.7978679127322376,0.8256345860615302,0.797015646710566,0.8255957538164228,0.7970347644866852
250,200,10,100,0.8487457769007684,0.8168307859602489,0.8501126390566021,0.8184906109747219,0.8487457769007684,0.8168307859602489,0.8486107854032172,0.8167966179854838
250,200,50,100,0.8062905492271355,0.7977405908294569,0.8106903969851608,0.8039352504946736,0.8062905492271355,0.7977405908294569,0.8056359750799912,0.7971879063908193
250,200,100,100,0.8128382216641253,0.7929076300368513,0.8263860710654938,0.8086753655429814,0.8128382216641253,0.7929076300368513,0.8109302821168416,0.7910295890984173
500,400,5,100,0.8554728376237032,0.8084335165830967,0.8558498936478874,0.8084356967819597,0.8554728376237032,0.8084335165830967,0.8554281080871257,0.8083758745926484
500,400,10,100,0.8689568571172303,0.8164683139008034,0.8724813125907032,0.8186004369948995,0.8689568571172303,0.8164683139008034,0.868629284183716,0.8158763280758797
500,400,50,100,0.8212395730558795,0.8048692079985501,0.8275292020560083,0.8101148510372669,0.8212395730558795,0.8048692079985501,0.8203417886455304,0.8035642824475628
500,400,100,100,0.8337668550243669,0.803479731770676,0.8344488573668581,0.8050048642275823,0.8337668550243669,0.803479731770676,0.8336924436281936,0.8034514410491821
1500,1200,5,100,0.9023529763506443,0.8197909744457198,0.9025558674675845,0.8198430754161531,0.9023529763506443,0.8197909744457198,0.9023378818051618,0.8197144535523673
1500,1200,10,100,0.9134451520315724,0.822992810970821,0.9135899262052308,0.8234603823523735,0.9134451520315724,0.822992810970821,0.9134395573850569,0.8230235517588581
1500,1200,50,100,0.8537088528119113,0.8136893614450553,0.8608968041305801,0.8191417736847723,0.8537088528119113,0.8136893614450553,0.8529489310703267,0.8124434201449795
1500,1200,100,100,0.8896463060962119,0.8093396967317102,0.8908659143690796,0.8109589516214096,0.8896463060962119,0.8093396967317102,0.8895679939111932,0.8093058822586289
4000,3200,5,100,0.9507280174604599,0.8223282788618377,0.950738834605144,0.822318280662205,0.9507280174604599,0.8223282788618377,0.9507274291969339,0.8223219555655154
4000,3200,10,100,0.946631984931384,0.8203950945447955,0.9486404134808599,0.8228026873119595,0.946631984931384,0.8203950945447955,0.9465679437752791,0.8197703374926492
4000,3200,50,100,0.9593087571381589,0.8232344590104512,0.9610696164842618,0.8268372138354112,0.9593087571381589,0.8232344590104512,0.9592669232217803,0.8224080041932366
4000,3200,100,100,0.9805363709749754,0.8216033347429469,0.980538155996632,0.8215888821824703,0.9805363709749754,0.8216033347429469,0.9805363089664074,0.821592433110329
10000,8000,5,100,0.9943492689927348,0.825650939406754,0.9943701886524252,0.8257082952167105,0.9943492689927348,0.825650939406754,0.9943491676837978,0.8255774245518068
10000,8000,10,100,0.9943791670403923,0.8309671962786201,0.9944082261737814,0.832105747629656,0.9943791670403923,0.8309671962786201,0.9943791329546099,0.8309701278075795
10000,8000,50,100,0.9994020390468502,0.8335649127046457,0.999402046349831,0.8337226453800056,0.9994020390468502,0.8335649127046457,0.9994020391248897,0.833589965554673
10000,8000,100,100,0.9964421323287589,0.8326587325560322,0.9964432298334432,0.8327584231659723,0.9964421323287589,0.8326587325560322,0.9964421243778029,0.8326793903285641
20000,16000,5,100,0.9981164229975783,0.8323566725064943,0.998121042761837,0.8324709814240578,0.9981164229975783,0.8323566725064943,0.998116412177861,0.8322678280935575
20000,16000,10,100,0.9999402039046851,0.8391832296260496,0.9999402039046851,0.8392513715765859,0.9999402039046851,0.8391832296260496,0.9999402039046851,0.8391996080118862
20000,16000,50,100,1.0,0.8394852896755876,1.0,0.8395913495829015,1.0,0.8394852896755876,1.0,0.8395058136193673
20000,16000,100,100,0.9995216312374802,0.8365251011901166,0.9995216312374802,0.8366732719335388,0.9995216312374802,0.8365251011901166,0.9995216312374802,0.836549165614131
25000,20000,5,100,0.99988040780937,0.8341690328037213,0.9998804363431465,0.8341730280915253,0.99988040780937,0.8341690328037213,0.9998804077755885,0.8341708812130035
25000,20000,10,100,0.9998505097617125,0.8379749894278983,0.9998505543430791,0.8379616748405664,0.9998505097617125,0.8379749894278983,0.999850509708261,0.8379629337218397
25000,20000,50,100,1.0,0.8397873497251254,1.0,0.8397738241181453,1.0,0.8397873497251254,1.0,0.839771643015661
25000,20000,100,100,0.9997309175710826,0.8359209810910408,0.9997309193218366,0.8359161621274132,0.9997309175710826,0.8359209810910408,0.9997309175528021,0.835918266382547
